,name,stock_symbol,security_type,sector,industry,link,price_weblink,pair_ID,exchange_ID,exchange,country,last,pair_change_percent(%),daily_change(%),week_change(%),month_change(%),ytd_change(%),one_year_return(%),3year_change(%),52_week_high,52_week_low,52_week_high_diff(%),52_week_low_diff(%),month_change,summary_5mins,summary_15mins,summary_30mins,summary_hourly,summary_daily,summary_weekly,summary_monthly,market_cap,turnover_volume,average_volume,pe_ratio,revenue,eps,beta,dividend,dividend_yield(%),pe_ratio_TTM,price_to_sales_TTM,price_to_cash_flow_MRQ,price_to_free_cash_flow_TTM,price_to_book_MRQ,price_to_tangible_book_MRQ,eps_MRQ_change_1yr(%),eps_TTM_change_1yr(%),eps_growth_5yr(%),sales_MRQ_change_1yr(%),sales_TTM_change_1yr(%),sales_growth_5yr(%),capitalspending_growth_5yr(%),asset_turnover,inventory_turnover,revenue_per_employee(thousand),netincome_per_employee(thousand),receivable_turnover,gross_margin_TTM(%),gross_margin_5yr(%),operating_margin_TTM(%),operating_margin_5yr(%),pretax_margin_TTM(%),pretax_margin_5yr(%),netprofit_margin_TTM(%),netprofit_margin_5yr(%),quick_ratio,current_ratio,LT_debt_to_equity_MRQ(%),total_debt_to_equity(%),dividend_yield_avg_5yr(%),dividend_growth_rate(%),payout_ratio,ADX,ATR,BullBear,CCI,HL,ROC,RSI,STOCH,STOCHRSI,UO,WilliamsR,MACD,GICS_sector,stock_code,historical_price
123,Mlabs Systems Bhd,MLBS,ORD,Services,Business Services,/equities/mlabs-systems-bhd,https://www.investing.com/equities/mlabs-systems-bhd-historical-data,992870,62,Kuala Lumpur,Malaysia,0.135,0.0,0.0,-12.9,45.38,-27.31,-47.13,80.0,0.371,0.046,-63.611859838275,193.47826086957,-33.33,Strong Sell,Strong Sell,Sell,Neutral,Strong Sell,Strong Sell,Strong Buy,118930000.0,9965600,14853201,,8310000.0,-0.14,2.99,,,,14.3,,,0.64,2.84,-8052.86,-302.81,,-73.93,12.32,,,0.14,23.14,,,3.07,12.64,,-311.97,,-312.68,,-312.68,,23.04,23.26,1.47,2.63,,,,30.399,0.0235,-0.006,-31.4163,-0.0007,38.462,49.329,28.102,24.107,48.734,-63.415,0.002,Technology,0085,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.135  0.135  0.140  0.130    9.97M    0.00%
1     Nov 26, 2020  0.135  0.135  0.135  0.130    2.73M    0.00%
2     Nov 25, 2020  0.135  0.130  0.140  0.130    4.34M   -3.57%
3     Nov 24, 2020  0.140  0.145  0.150  0.125   12.08M   -3.45%
4     Nov 23, 2020  0.145  0.160  0.160  0.145    5.71M   -6.45%
...            ...    ...    ...    ...    ...      ...      ...
1041  Dec 15, 2015  0.080  0.080  0.080  0.080  200.00K    0.00%
1042  Dec 14, 2015  0.080  0.080  0.080  0.080    2.00K    0.00%
1043  Dec 11, 2015  0.080  0.080  0.080  0.080    8.96M    6.67%
1044  Dec 01, 2015  0.075  0.075  0.075  0.075   10.00K  -11.76%
1045  Nov 30, 2015  0.085  0.085  0.085  0.085    5.00K    0.00%

[1046 rows x 7 columns]"
124,Mr D I Y Group M Bhd,MRDI,ORD,Services,Retail (Home Improvement),/equities/mr-d-i-y-group-m-bhd,https://www.investing.com/equities/mr-d-i-y-group-m-bhd-historical-data,1167209,62,Kuala Lumpur,Malaysia,2.48,4.64,4.64,6.44,41.71,,,,2.5,1.5,-0.8,65.333333333333,,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,15570000000.0,18991800,35457737,54.2,2230000000.0,0.05,,,,54.2,6.98,54.36,43.24,33.11,34.43,-25.27,,,-4.19,,,,,,235.44,29.42,,42.54,,20.32,,17.18,,12.49,,0.46,1.06,155.51,306.58,,,0.0,63.376,0.1179,0.388,136.944,0.1471,16.432,79.21,73.854,97.284,50.477,-4.651,0.42,Consumer,5296,"            Date  Price  Open  High   Low    Vol. Change %
0   Nov 27, 2020   2.48  2.38  2.50  2.37  18.99M    4.64%
1   Nov 26, 2020   2.37  2.38  2.42  2.35  13.39M    0.42%
2   Nov 25, 2020   2.36  2.39  2.42  2.35   8.28M   -0.42%
3   Nov 24, 2020   2.37  2.43  2.47  2.35  11.23M   -2.07%
4   Nov 23, 2020   2.42  2.38  2.44  2.36  11.89M    3.86%
5   Nov 20, 2020   2.33  2.18  2.49  2.17  32.46M    6.88%
6   Nov 19, 2020   2.18  2.18  2.28  2.15   8.38M   -0.91%
7   Nov 18, 2020   2.20  2.20  2.20  2.15   4.59M    0.00%
8   Nov 17, 2020   2.20  2.18  2.20  2.15   6.28M    2.33%
9   Nov 16, 2020   2.15  2.14  2.22  2.07   6.81M    0.47%
10  Nov 13, 2020   2.14  2.16  2.18  2.12   4.18M   -0.47%
11  Nov 12, 2020   2.15  2.16  2.26  2.15   5.91M   -1.38%
12  Nov 11, 2020   2.18  2.30  2.30  2.17   5.84M   -4.39%
13  Nov 10, 2020   2.28  2.16  2.28  2.14  19.12M    7.04%
14  Nov 09, 2020   2.13  2.05  2.27  2.04  31.04M    4.41%
15  Nov 06, 2020   2.04  1.91  2.09  1.85  62.74M    8.51%
16  Nov 05, 2020   1.88  1.78  1.88  1.77  24.14M    5.62%
17  Nov 04, 2020   1.78  1.75  1.80  1.74  22.56M    2.89%
18  Nov 03, 2020   1.73  1.72  1.77  1.71  11.46M    1.17%
19  Nov 02, 2020   1.71  1.74  1.75  1.70   6.24M   -2.29%
20  Oct 30, 2020   1.75  1.75  1.76  1.68  15.31M   -0.57%
21  Oct 28, 2020   1.76  1.75  1.77  1.72  27.84M    1.15%
22  Oct 27, 2020   1.74  1.74  1.81  1.72  82.14M   -0.57%"
125,Mtag Group Berhad,MTAG,ORD,Services,Printing Services,/equities/mtag-group-berhad,https://www.investing.com/equities/mtag-group-berhad-historical-data,1153102,62,Kuala Lumpur,Malaysia,0.76,0.0,0.0,1.33,11.76,43.4,50.5,,1.22,0.2,-37.704918032787,280.0,0.0,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,518030000.0,2068100,8922783,14.58,172320000.0,0.05,,0.03,3.95,14.58,3.01,25.02,35.51,2.72,2.72,65.79,,,12.6,,,,0.82,4.9,,,3.0,31.6,,26.5,,26.47,,20.01,,8.1,9.07,0.03,0.05,,,59.29,27.54,0.03,0.037,104.4415,0.0018,5.556,55.871,57.843,63.582,44.922,-35.294,0.008,Industrial Products,0213,"             Date  Price   Open   High    Low    Vol. Change %
0    Nov 27, 2020  0.760  0.765  0.775  0.750   2.07M    0.00%
1    Nov 26, 2020  0.760  0.745  0.760  0.740   2.36M    2.01%
2    Nov 25, 2020  0.745  0.740  0.755  0.740   1.99M    0.68%
3    Nov 24, 2020  0.740  0.790  0.790  0.735   7.82M   -3.90%
4    Nov 23, 2020  0.770  0.755  0.790  0.755  13.77M    2.67%
..            ...    ...    ...    ...    ...     ...      ...
287  Oct 02, 2019  0.445  0.445  0.455  0.440  12.55M   -1.11%
288  Oct 01, 2019  0.450  0.440  0.460  0.435  15.08M    2.27%
289  Sep 30, 2019  0.440  0.455  0.460  0.420  28.11M   -4.35%
290  Sep 27, 2019  0.460  0.475  0.485  0.450  20.73M   -3.16%
291  Sep 26, 2019  0.475  0.445  0.485  0.440  54.33M    7.95%

[292 rows x 7 columns]"
126,Muar Ban Lee Group Bhd,MUBL,ORD,Capital Goods,Misc. Capital Goods,/equities/muar-ban-lee-group-bhd,https://www.investing.com/equities/muar-ban-lee-group-bhd-historical-data,953628,62,Kuala Lumpur,Malaysia,0.6,-2.44,-2.44,-9.77,1.69,-56.52,-55.22,-54.2,1.6,0.57,-62.5,5.2631578947368,-7.81,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,125510000.0,1341800,501894,9.06,179880000.0,0.07,0.88,0.01,2.08,9.06,0.75,10.87,33.77,0.83,1.11,58.75,36.2,33.24,12.37,9.45,29.69,16.99,0.83,4.52,,,3.3,33.31,28.58,15.89,12.23,15.73,11.82,11.34,8.69,1.76,2.29,8.41,8.65,1.15,-14.5,0.0,20.771,0.02,-0.021,-73.4485,-0.0204,-4.762,37.13,43.333,0.0,44.84,-100.0,-0.004,Industrial Products,5152,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.600  0.635  0.635  0.600    1.34M   -2.44%
1     Nov 26, 2020  0.615  0.630  0.630  0.615    1.03M   -1.60%
2     Nov 25, 2020  0.625  0.630  0.630  0.615  426.90K   -0.79%
3     Nov 24, 2020  0.630  0.650  0.650  0.620    1.13M   -4.55%
4     Nov 23, 2020  0.660  0.660  0.665  0.645  888.10K   -0.75%
...            ...    ...    ...    ...    ...      ...      ...
1170  Dec 04, 2015  0.790  0.800  0.800  0.785   37.80K   -1.25%
1171  Dec 03, 2015  0.800  0.780  0.800  0.780   59.40K    0.00%
1172  Dec 02, 2015  0.800  0.800  0.800  0.800   25.50K    2.56%
1173  Dec 01, 2015  0.780  0.785  0.785  0.780   24.00K   -0.64%
1174  Nov 30, 2015  0.785  0.785  0.785  0.785    5.00K   -1.87%

[1175 rows x 7 columns]"
127,Muda Holdings Bhd,MUDA,ORD,Basic Materials,Containers & Packaging,/equities/muda-holdings-bhd,https://www.investing.com/equities/muda-holdings-bhd-historical-data,953629,62,Kuala Lumpur,Malaysia,1.95,2.63,2.63,9.55,21.12,38.3,32.65,46.62,2.36,0.835,-17.372881355932,133.53293413174,2.55,Sell,Neutral,Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,594850000.0,3193500,392154,14.29,1390000000.0,0.14,1.37,0.04,2.05,14.29,0.43,8.93,14.93,0.55,0.55,1.87,-45.24,12.57,-23.99,-10.41,7.63,-3.76,0.73,3.94,,,6.29,19.65,17.85,6.87,6.45,5.17,4.45,3.23,3.35,0.72,1.29,10.52,43.87,2.21,10.06,29.31,54.157,0.0671,0.348,225.7644,0.1329,14.035,70.683,46.762,97.658,54.607,-26.471,0.062,Industrial Products,3883,"              Date  Price  Open  High   Low     Vol. Change %
0     Nov 27, 2020   1.95  2.02  2.04  1.93    3.19M    2.63%
1     Nov 26, 2020   1.90  1.88  1.93  1.85    1.13M    1.60%
2     Nov 25, 2020   1.87  1.90  1.94  1.85    1.64M   -2.09%
3     Nov 24, 2020   1.91  1.76  1.94  1.74    2.38M    8.52%
4     Nov 23, 2020   1.76  1.79  1.79  1.76   91.50K   -1.12%
...            ...    ...   ...   ...   ...      ...      ...
1193  Dec 04, 2015   2.13  2.15  2.15  2.12  282.10K   -1.39%
1194  Dec 03, 2015   2.16  2.15  2.16  2.14  279.70K    0.00%
1195  Dec 02, 2015   2.16  2.16  2.17  2.12  955.20K    0.47%
1196  Dec 01, 2015   2.15  2.16  2.23  2.12    2.92M   -1.38%
1197  Nov 30, 2015   2.18  2.14  2.20  2.11  832.30K    1.87%

[1198 rows x 7 columns]"
128,Mudajaya Group Bhd,MJYA,ORD,Capital Goods,Construction Services,/equities/mudajaya-group-bhd,https://www.investing.com/equities/mudajaya-group-bhd-historical-data,41660,62,Kuala Lumpur,Malaysia,0.27,-3.57,-3.57,-1.82,25.58,-29.87,-10.0,-72.73,0.555,0.145,-51.351351351351,86.206896551724,-6.52,Neutral,Strong Sell,Sell,Sell,Strong Buy,Buy,Strong Sell,171000000.0,770600,767632,,341650000.0,-0.03,2.75,,,,0.51,12.0,1.41,1.16,,92.49,94.6,,-45.26,-25.31,-17.82,-21.01,0.25,,512.77,-380.56,1.37,,14.58,4.51,1.77,0.59,-29.88,-4.5,-31.22,0.87,1.02,212.89,670.76,,,,45.125,0.0139,0.019,63.2423,0.0032,20.0,59.856,61.23,30.632,50.453,-40.0,0.012,Construction,5085,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.270  0.270  0.280  0.265  770.60K   -3.57%
1     Nov 26, 2020  0.280  0.270  0.280  0.265  905.40K    3.70%
2     Nov 25, 2020  0.270  0.270  0.285  0.270  893.10K   -1.82%
3     Nov 24, 2020  0.275  0.295  0.295  0.270    1.80M   -5.17%
4     Nov 23, 2020  0.290  0.275  0.300  0.275    4.13M    5.45%
...            ...    ...    ...    ...    ...      ...      ...
1213  Dec 04, 2015  1.120  1.150  1.180  1.120  199.50K   -2.61%
1214  Dec 03, 2015  1.150  1.140  1.150  1.130  243.30K   -0.86%
1215  Dec 02, 2015  1.160  1.160  1.180  1.150  131.40K    0.00%
1216  Dec 01, 2015  1.160  1.170  1.180  1.160  333.60K   -1.69%
1217  Nov 30, 2015  1.180  1.170  1.200  1.170  139.20K    0.00%

[1218 rows x 7 columns]"
129,Muhibbah Engineering M Bhd,MUHI,ORD,Capital Goods,Construction Services,/equities/muhibbah-engineering-m-bhd,https://www.investing.com/equities/muhibbah-engineering-m-bhd-historical-data,950434,62,Kuala Lumpur,Malaysia,1.03,3.0,3.0,-8.04,41.1,-58.13,-56.36,-63.21,2.52,0.72,-59.126984126984,43.055555555556,-5.19,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,Strong Sell,497950000.0,6365600,2008671,,1310000000.0,-0.25,2.31,0.03,2.43,66.99,0.38,,58.3,0.47,0.48,-195.7,-193.32,-16.74,4.76,-13.56,-2.37,9.47,0.35,4.76,,,1.1,-2.22,14.47,-5.72,4.71,-3.11,12.41,-5.84,10.46,0.85,1.01,7.57,45.02,2.19,-23.11,173.31,40.012,0.0736,0.063,45.7311,0.0304,31.21,62.679,62.572,16.141,61.742,-35.821,0.066,Construction,5703,"              Date  Price   Open  High    Low     Vol. Change %
0     Nov 27, 2020   1.03  0.995  1.04  0.975    6.37M    3.00%
1     Nov 26, 2020   1.00  1.030  1.03  0.990    2.33M   -1.96%
2     Nov 25, 2020   1.02  0.980  1.02  0.980    3.12M    6.25%
3     Nov 24, 2020   0.96  1.060  1.07  0.960    9.75M  -10.28%
4     Nov 23, 2020   1.07  1.120  1.12  1.050    3.12M   -4.46%
...            ...    ...    ...   ...    ...      ...      ...
1216  Dec 04, 2015   2.37  2.290  2.41  2.230    3.05M    5.33%
1217  Dec 03, 2015   2.25  2.280  2.28  2.230  606.70K   -1.32%
1218  Dec 02, 2015   2.28  2.250  2.35  2.230    2.06M    2.70%
1219  Dec 01, 2015   2.22  2.220  2.23  2.190  474.80K   -0.45%
1220  Nov 30, 2015   2.23  2.210  2.23  2.180  559.80K    2.76%

[1221 rows x 7 columns]"
130,Mulpha International Bhd,MITC,ORD,Services,Hotels & Motels,/equities/mulpha-international-bhd,https://www.investing.com/equities/mulpha-international-bhd-historical-data,41634,62,Kuala Lumpur,Malaysia,1.35,6.3,6.3,8.87,7.14,-28.57,-32.16,-45.61,1.94,1.1,-30.412371134021,22.727272727273,-11.27,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,Sell,Strong Sell,431280000.0,39100,35136,,782220000.0,-0.51,0.94,,,2.39,0.55,,,0.15,0.15,77.72,-1971.53,,-47.59,2.48,-2.38,11.31,0.14,,580.29,-119.64,2.87,,89.56,-12.78,14.91,-24.94,14.38,-20.62,11.55,0.52,1.06,23.3,72.57,,,0.0,61.628,0.045,0.068,385.2433,0.0864,12.5,66.636,48.958,100.0,81.995,0.0,-0.004,Consumer,3905,"              Date  Price  Open  High   Low     Vol. Change %
0     Nov 27, 2020   1.35  1.27  1.35  1.24   39.10K    6.30%
1     Nov 26, 2020   1.27  1.24  1.27  1.22   35.40K    0.79%
2     Nov 25, 2020   1.26  1.22  1.29  1.21   47.90K    0.80%
3     Nov 24, 2020   1.25  1.25  1.25  1.23   30.90K    0.81%
4     Nov 23, 2020   1.24  1.23  1.24  1.23   43.60K    0.00%
...            ...    ...   ...   ...   ...      ...      ...
1205  Dec 04, 2015   2.65  2.65  2.75  2.65  287.95K   -1.85%
1206  Dec 03, 2015   2.70  2.70  2.75  2.65  199.01K    1.89%
1207  Dec 02, 2015   2.65  2.65  2.70  2.65  149.63K    0.00%
1208  Dec 01, 2015   2.65  2.70  2.70  2.65  145.00K   -1.85%
1209  Nov 30, 2015   2.70  2.75  2.75  2.70    1.20M   -1.82%

[1210 rows x 7 columns]"
131,Multi Sports Holdings Ltd,MSPT,ORD,Consumer Cyclical,Footwear,/equities/multi-sports-holdings-ltd,https://www.investing.com/equities/multi-sports-holdings-ltd-historical-data,950431,62,Kuala Lumpur,Malaysia,0.005,0.0,0.0,0.0,0.0,0.0,0.0,-85.71,0.0,0.0,0.0,0.0,,,,,,,,,3030000.0,0,17963300,,,0.0,,,,,,,,,,-8160.0,-278.63,,,,,,0.0,,,,,,20.55,,-36.94,,-37.13,,-40.21,0.01,0.01,,,,,,,,,,,,,,,,,,Consumer,5150,"             Date  Price   Open   High    Low     Vol. Change %
0    Nov 07, 2019  0.005  0.010  0.010  0.005   17.96M    0.00%
1    Nov 06, 2019  0.005  0.015  0.015  0.005   98.57M  -66.67%
2    Nov 05, 2019  0.015  0.010  0.020  0.010   84.77M   50.00%
3    Nov 04, 2019  0.010  0.015  0.020  0.010   81.90M  -33.33%
4    Nov 01, 2019  0.015  0.015  0.020  0.010  106.19M    0.00%
..            ...    ...    ...    ...    ...      ...      ...
323  Dec 04, 2015  0.085  0.080  0.085  0.080  475.20K    6.25%
324  Dec 03, 2015  0.080  0.085  0.085  0.080  130.60K    0.00%
325  Dec 02, 2015  0.080  0.085  0.085  0.080  117.00K   -5.88%
326  Dec 01, 2015  0.085  0.080  0.090  0.080    4.70M    0.00%
327  Nov 30, 2015  0.085  0.080  0.085  0.080  250.00K    6.25%

[328 rows x 7 columns]"
132,Multi-Usage Holdings Bhd,MUHB,ORD,Capital Goods,Construction Services,/equities/multi-usage-holdings-bhd,https://www.investing.com/equities/multi-usage-holdings-bhd-historical-data,953630,62,Kuala Lumpur,Malaysia,0.32,0.0,0.0,-14.67,10.34,-12.33,-15.79,-46.67,0.4,0.24,-20.0,33.333333333333,0.0,Neutral,Neutral,Neutral,Buy,Strong Buy,Buy,Sell,18050000.0,0,11052,,4810000.0,-0.03,0.83,,,,3.76,,,0.28,0.32,176.15,-339.46,,32.26,-57.51,,,0.07,0.07,,,3.04,42.55,,-36.96,,-37.09,,-36.52,,0.79,13.04,0.01,0.14,,,,74.46,0.0246,0.022,97.788,0.0154,16.364,52.517,35.965,36.543,53.134,-57.895,0.006,Property,9539,"             Date  Price  Open   High   Low     Vol. Change %
0    Nov 24, 2020  0.320  0.32  0.320  0.32    6.00K    6.67%
1    Nov 23, 2020  0.300  0.30  0.300  0.30    4.00K  -20.00%
2    Nov 17, 2020  0.375  0.37  0.375  0.37   10.00K   13.64%
3    Nov 16, 2020  0.330  0.28  0.350  0.28   12.00K   17.86%
4    Nov 12, 2020  0.280  0.28  0.280  0.28   30.00K    0.00%
..            ...    ...   ...    ...   ...      ...      ...
566  Dec 04, 2015  1.030  0.99  1.030  0.99   31.30K    1.98%
567  Dec 03, 2015  1.010  1.05  1.100  1.01   70.00K    1.00%
568  Dec 02, 2015  1.000  0.96  1.040  0.96   49.10K   -2.91%
569  Dec 01, 2015  1.030  1.09  1.090  1.02  228.00K   -8.04%
570  Nov 30, 2015  1.120  1.12  1.120  1.12    5.00K    0.00%

[571 rows x 7 columns]"
133,Mycron Steel Bhd,MYCS,ORD,Basic Materials,Iron & Steel,/equities/mycron-steel-bhd,https://www.investing.com/equities/mycron-steel-bhd-historical-data,953631,62,Kuala Lumpur,Malaysia,0.325,6.56,6.56,6.56,32.65,-24.42,25.0,-44.92,0.505,0.14,-35.643564356436,132.14285714286,-7.55,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,106290000.0,432800,172305,,596100000.0,-0.03,2.5,,,31.99,0.18,4.6,4.6,0.28,0.29,7.38,15.78,7.63,-39.47,-14.17,2.83,28.74,0.92,3.29,,,7.23,5.02,8.47,-0.79,3.55,-1.77,2.4,-1.77,1.55,0.6,1.43,9.62,22.14,,,0.0,45.12,0.0207,0.032,117.0657,0.0189,30.0,66.597,55.338,93.027,52.882,-22.222,0.012,Industrial Products,5087,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.325  0.310  0.325  0.305  432.80K    6.56%
1     Nov 26, 2020  0.305  0.300  0.315  0.300  242.00K    0.00%
2     Nov 25, 2020  0.305  0.305  0.310  0.295  187.50K    0.00%
3     Nov 24, 2020  0.305  0.315  0.320  0.300  619.50K   -4.69%
4     Nov 23, 2020  0.320  0.330  0.345  0.315    2.34M    4.92%
...            ...    ...    ...    ...    ...      ...      ...
1111  Dec 28, 2015  0.245  0.245  0.245  0.245    1.00K  -18.33%
1112  Dec 18, 2015  0.300  0.300  0.300  0.300    0.50K   15.38%
1113  Dec 03, 2015  0.260  0.260  0.260  0.260   11.50K    0.00%
1114  Dec 02, 2015  0.260  0.260  0.260  0.260    1.00K  -10.34%
1115  Nov 30, 2015  0.290  0.290  0.290  0.290    0.50K    7.41%

[1116 rows x 7 columns]"
134,N2N Connect Bhd,NNCB,ORD,Technology,Software & Programming,/equities/n2n-connect-bhd,https://www.investing.com/equities/n2n-connect-bhd-historical-data,992879,62,Kuala Lumpur,Malaysia,0.765,0.66,0.66,1.32,10.87,6.99,5.52,-14.24,0.995,0.35,-23.115577889447,118.57142857143,2.22,Sell,Sell,Buy,Strong Buy,Strong Buy,Neutral,Neutral,427030000.0,2193400,1095443,23.94,112590000.0,0.03,1.11,0.03,3.27,23.94,4.06,,22.47,1.6,2.42,74.37,24.46,11.97,23.98,5.49,25.14,7.85,0.37,,,,4.08,58.85,56.01,24.32,23.26,22.51,21.52,19.15,18.6,,6.48,2.61,6.54,2.42,25.99,50.74,27.4,0.0229,0.05,118.6755,0.0046,6.993,58.779,46.825,60.493,46.131,-21.429,0.01,Technology,0108,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.765  0.760  0.780  0.760    2.19M    0.66%
1     Nov 26, 2020  0.760  0.750  0.760  0.735    2.55M    3.40%
2     Nov 25, 2020  0.735  0.725  0.735  0.725  332.20K    1.38%
3     Nov 24, 2020  0.725  0.750  0.750  0.720    1.04M   -2.68%
4     Nov 23, 2020  0.745  0.755  0.765  0.740  724.60K   -1.32%
...            ...    ...    ...    ...    ...      ...      ...
1193  Dec 04, 2015  0.920  0.930  0.950  0.875   44.00K    0.00%
1194  Dec 03, 2015  0.920  0.915  0.920  0.890   29.00K    5.14%
1195  Dec 02, 2015  0.875  0.910  0.910  0.875   72.00K   -5.91%
1196  Dec 01, 2015  0.930  0.920  0.930  0.920   20.00K    2.20%
1197  Nov 30, 2015  0.910  0.910  0.925  0.900   33.00K    0.00%

[1198 rows x 7 columns]"
135,NPC Resources Bhd,NPCR,ORD,Consumer/Non-Cyclical,Crops,/equities/npc-resources-bhd,https://www.investing.com/equities/npc-resources-bhd-historical-data,960833,62,Kuala Lumpur,Malaysia,1.85,0.0,0.0,2.78,2.78,-2.63,-2.63,-11.9,2.0,1.6,-7.5,15.625,-5.76,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Strong Sell,216200000.0,0,12888,,254110000.0,-0.08,,,0.5,,0.87,,187.66,0.42,0.46,361.62,78.79,29.0,44.5,16.9,-14.02,-15.07,0.21,,,,12.35,,8.87,6.63,4.64,-6.07,-0.12,-3.84,-2.06,0.1,0.13,30.87,90.57,,0.0,,32.124,0.0893,0.07,55.9206,0.0257,5.714,51.561,46.25,83.346,61.73,-37.5,-0.014,Plantations,5047,"             Date  Price  Open  High   Low    Vol. Change %
0    Nov 23, 2020   1.85  1.85  1.85  1.85   0.10K    2.78%
1    Nov 12, 2020   1.80  1.80  1.80  1.80   0.30K    0.00%
2    Nov 11, 2020   1.80  1.80  1.80  1.80   0.30K    0.00%
3    Nov 10, 2020   1.80  1.78  1.80  1.78   6.50K    8.43%
4    Nov 09, 2020   1.66  1.66  1.66  1.66   1.80K   -7.78%
..            ...    ...   ...   ...   ...     ...      ...
153  Jan 15, 2016   2.40  2.32  2.40  2.32   3.00K   -3.61%
154  Jan 11, 2016   2.49  2.55  2.60  2.41  17.50K   -2.35%
155  Jan 04, 2016   2.55  2.46  2.55  2.46   4.00K   -1.92%
156  Dec 14, 2015   2.60  2.52  2.60  2.52   7.00K   -1.14%
157  Dec 10, 2015   2.63  2.50  2.63  2.50   5.50K   -0.38%

[158 rows x 7 columns]"
136,NTPM Holdings Bhd,NTPM,ORD,Consumer/Non-Cyclical,Personal & Household Prods.,/equities/ntpm-holdings-bhd,https://www.investing.com/equities/ntpm-holdings-bhd-historical-data,950444,62,Kuala Lumpur,Malaysia,0.72,0.7,0.7,-0.69,0.0,41.18,32.11,2.86,0.815,0.295,-11.656441717791,144.06779661017,16.13,Strong Buy,Strong Buy,Strong Sell,Buy,Neutral,Strong Buy,Strong Buy,808590000.0,12965300,3325373,39.56,772810000.0,0.02,0.88,0.02,2.22,39.56,1.05,,,1.75,1.75,2797.78,605.43,-31.78,-3.03,4.36,7.29,-5.3,0.8,,212.37,5.62,7.13,,51.4,6.61,8.24,5.01,6.99,2.64,4.43,0.46,0.96,13.78,90.24,2.93,-12.64,43.96,19.092,0.0311,0.015,-43.7659,-0.0014,-8.861,49.456,38.94,36.961,39.928,-65.217,0.004,Consumer,5066,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.720  0.725  0.755  0.710   12.97M    0.70%
1     Nov 26, 2020  0.715  0.700  0.720  0.700    1.92M    2.14%
2     Nov 25, 2020  0.700  0.720  0.735  0.700    3.15M   -2.78%
3     Nov 24, 2020  0.720  0.715  0.720  0.680    5.97M    0.70%
4     Nov 23, 2020  0.715  0.725  0.730  0.700    7.95M   -1.38%
...            ...    ...    ...    ...    ...      ...      ...
1185  Dec 07, 2015  0.770  0.760  0.770  0.760  151.40K    1.32%
1186  Dec 04, 2015  0.760  0.770  0.770  0.760   60.00K   -1.30%
1187  Dec 03, 2015  0.770  0.765  0.770  0.760  219.10K    0.65%
1188  Dec 02, 2015  0.765  0.770  0.770  0.760   68.30K    0.00%
1189  Nov 30, 2015  0.765  0.765  0.765  0.765   10.00K    0.00%

[1190 rows x 7 columns]"
